barcode
1373
0571
2824
1862
1164
0240
2966
1097
2827
3128
1489
1176
3092
0822
1498
2996
3258
1768
0547
0471
2218
2980
0562
0862
0560
1150
3038
0074
1487
1756
3409
2954
3167
3143
3307
3747
3741
2949
3067
0950
3066
2266
3058
3191
0702
1227
3740
3095
1277
0722
3153
1434
0990
2271
3730
1172
3736
3020
1490
2238
3749
3039
1431
0339
3144
3173
3745
0609
3645
3750
0114
1499
2264
0188
2994
3733
2075
3738
3207
0775
3742
2071
2445
1130
3103
3030
1103
3661
0674
1420
1098
2272
3663
0034
0385
0061
1042
0380
3161
2704
3731
0300
0224
2439
3744
3662
3735
1085
1394
3171
0201
0524
3018
0542
1084
1231
1272
1707
0057
0312
1186
1532
3317
0289
3650
0934
1175
1151
0953
3202
1086
3022
1028
1160
1293
0774
0030
1762
0883
2975
3016
1270
1027
0366
1109
3644
1020
1427
0741
3008
3734
3416
0885
2516
0719
3739
0540
0979
3424
0623
1838
1316
3083
1397
3247
1501
1770
0686
0295
0920
1683
3647
3121
0150
2282
2068
0780
0369
0166
1389
2115
0814
1442
3641
3737
3069
0191
1833
2518
1787
0750
0088
0678
1294
1017
3655
0745
0543
0703
3642
0250
3135
1764
0633
0851
0732
3185
3199
3163
0186
2276
1183
1811
1279
3656
3152
2066
1771
1428
0771
3204
0442
0700
2288
3082
0497
0628
0765
3664
3643
1096
3017
1808
3417
3127
2990
3113
1081
1180
0527
2261
3125
3053
3178
3182
1721
0329
3072
3206
1402
2263
0266
3665
0153
3115
2072
0071
2314
3059
0175
1144
0177
1250
1400
0555
0928
3654
0699
1389
3179
1208
0327
2986
2429
3732
0761
1135
1222
0680
1080
1040
0929
0823
3130
0454
1409
0336
3321
1772
0813
1463
0335
1348
3098
3108
3651
1333
1212
3133
1077
0152
1829
0407
3073
3110
3653
3043
1694
1791
3215
2323
3648
3078
3029
2952
1800
1136
3315
2779
1157
3050
0955
0479
0512
0684
1201
0839
1118
1169
1193
2284
0126
1346
0572
1092
0865
2291
0954
2108
0319
2968
3057
1004
1731
0882
1095
1215
0194
2324
0053
3000
1297
0491
0716
1459
0963
0855
3068
0473
1282
2778
0588
0427
1218
2976
1093
0203
0685
1412
2286
0127
1403
1128
1909
1060
1258
1249
0854
2313
1379
1181
0897
1046
3746
1804
3112
1417
0828
2437
0412
0861
0384
3752
0838
0223
0337
0951
1519
0187
0274
3025
1029
0206
1292
1009
3019
1798
0463
0313
3109
0590
3174
0749
