name,price,quantity
9 Volt Battery,1,1000
Drill Bit,1,1000
Drop Cloth,2,1000
Electrical Box - 1 Gang,1,1000
Electrical Box - 2 Gang,1,1000
Electrical Box - 4 in Round,3,1000
Electrical Box - 4 in Square,3,1000
Electrical Box Cover - 4 in Round,2,1000
Electrical Box Cover - 4 in Square,2,1000
Joist Hanger - 2x6,2,1000
Joist Hanger - 2x8,2,1000
Light Switch,3,1000
Light Switch Cover,1,1000
Outlet,3,1000
Outlet Cover - 1 Gang,1,1000
Outlet Cover - 2 Gang,1,1000
NEMA Right Angle Plug,12,1000
NEMA 5-20 Plug Straight,12,1000
Romex 12/2 - 10ft,5,1000
Screw Bit - Phillips (x2),1,1000
Screws (x10),1,1000
"Spade Bit - 3/4""",5,1000
Staple Gun Staples (x4 Rows),1,1000
Tarp,15,1000
Wire Nuts (x10),1,1000
Wire Staples (x20),1,1000
Sharpie,1,1000
jigsaw blade (1),2,1000
Paint Roller Cover,1,1000
Belt Sander Belt,7,1000
Caulk (1),3,1000
L Bracket,5,1000
Paint Brush,2,1000
Lamp Holder,12,1000
Saw Blade,1,1000
