organization,shift_type,starts_at,ends_at,required_number_of_participants,andrewid
Kappa Alpha Theta,Watch Shift,4/2/2022 19:00:00,4/2/2022 21:00:00,2,
Kappa Sigma,Watch Shift,4/2/2022 21:00:00,4/2/2022 23:00:00,2,
Delta Gamma,Watch Shift,4/2/2022 23:00:00,4/3/2022 01:00:00,2,


