organization,shift_type,starts_at,ends_at,required_number_of_participants,andrewid
Alpha Chi Omega,Watch Shift,4/5/2022 01:00:00,4/5/2022 03:00:00,2,
Kappa Alpha Theta,Watch Shift,4/5/2022 01:00:00,4/5/2022 03:00:00,2,
Sigma Phi Epsilon,Watch Shift,4/5/2022 03:00:00,4/5/2022 05:00:00,2,
Delta Delta Delta,Watch Shift,4/5/2022 05:00:00,4/5/2022 07:00:00,2,
Kappa Kappa Gamma,Watch Shift,4/5/2022 07:00:00,4/5/2022 09:00:00,2,
Singapore Students Association,Watch Shift,4/5/2022 09:00:00,4/5/2022 11:00:00,2,
