organization,shift_type,starts_at,ends_at,required_number_of_participants,andrewid
Kappa Alpha Theta,Watch Shift,4/4/2022 01:00:00,4/4/2022 03:00:00,2,
KGB,Watch Shift,4/4/2022 03:00:00,4/4/2022 05:00:00,2,
Sigma Phi Epsilon,Watch Shift,4/4/2022 05:00:00,4/4/2022 07:00:00,2,
