organization,shift_type,starts_at,ends_at,required_number_of_participants,andrewid
Kappa Kappa Gamma,Watch Shift,4/1/2022 21:00:00,4/1/2022 23:00:00,2,
Alpha Phi,Watch Shift,4/1/2022 23:00:00,4/2/2022 01:00:00,2,
Alpha Epsilon Pi,Watch Shift,4/2/2022 01:00:00,4/2/2022 03:00:00,2,
Kappa Sigma,Watch Shift,4/2/2022 03:00:00,4/2/2022 05:00:00,2,
Sigma Phi Epsilon,Watch Shift,4/2/2022 05:00:00,4/2/2022 07:00:00,2,
Delta Delta Delta,Watch Shift,4/2/2022 07:00:00,4/2/2022 09:00:00,2,
Alpha Phi,Watch Shift,4/2/2022 09:00:00,4/2/2022 11:00:00,2,
