organization,shift_type,starts_at,ends_at,required_number_of_participants,andrewid
Spring Carnival Committee,Coordinator Shift,4/13/2018 20:00:00,4/13/2018 23:59:59,1,asmui
Spring Carnival Committee,Coordinator Shift,4/14/2018 0:00:00,4/14/2018 3:59:59,1,ahebbar
Spring Carnival Committee,Coordinator Shift,4/14/2018 4:00:00,4/14/2018 7:59:59,1,mzhu3
Spring Carnival Committee,Coordinator Shift,4/14/2018 8:00:00,4/14/2018 11:59:59,1,auy
Spring Carnival Committee,Coordinator Shift,4/14/2018 12:00:00,4/14/2018 15:59:59,1,swu1
Spring Carnival Committee,Coordinator Shift,4/14/2018 16:00:00,4/14/2018 19:59:59,1,siqig
Spring Carnival Committee,Coordinator Shift,4/14/2018 20:00:00,4/14/2018 23:59:59,1,vkalinov
Spring Carnival Committee,Coordinator Shift,4/15/2018 0:00:00,4/15/2018 3:59:59,1,lbressle
Spring Carnival Committee,Coordinator Shift,4/15/2018 4:00:00,4/15/2018 7:59:59,1,oseavy
Spring Carnival Committee,Coordinator Shift,4/15/2018 8:00:00,4/15/2018 11:59:59,1,schidamb
Spring Carnival Committee,Coordinator Shift,4/15/2018 12:00:00,4/15/2018 15:59:59,1,msiko
Spring Carnival Committee,Coordinator Shift,4/15/2018 16:00:00,4/15/2018 19:59:59,1,zsolan
Spring Carnival Committee,Coordinator Shift,4/15/2018 20:00:00,4/15/2018 23:59:59,1,rwjang
Spring Carnival Committee,Coordinator Shift,4/16/2018 0:00:00,4/16/2018 3:59:59,1,mlrednor
Spring Carnival Committee,Coordinator Shift,4/16/2018 4:00:00,4/16/2018 7:59:59,1,etrich
Spring Carnival Committee,Coordinator Shift,4/16/2018 8:00:00,4/16/2018 11:59:59,1,ryerzhan
Spring Carnival Committee,Coordinator Shift,4/16/2018 12:00:00,4/16/2018 15:59:59,1,ahimmelr
Spring Carnival Committee,Coordinator Shift,4/16/2018 16:00:00,4/16/2018 19:59:59,1,agyang
Spring Carnival Committee,Coordinator Shift,4/16/2018 20:00:00,4/16/2018 23:59:59,1,okg
Spring Carnival Committee,Coordinator Shift,4/17/2018 0:00:00,4/17/2018 3:59:59,1,lbressle
Spring Carnival Committee,Coordinator Shift,4/17/2018 4:00:00,4/17/2018 7:59:59,1,epnewman
Spring Carnival Committee,Coordinator Shift,4/17/2018 8:00:00,4/17/2018 11:59:59,1,slakshma
Spring Carnival Committee,Coordinator Shift,4/17/2018 12:00:00,4/17/2018 15:59:59,1,tparenti
Spring Carnival Committee,Coordinator Shift,4/17/2018 16:00:00,4/17/2018 19:59:59,1,egarbade
Spring Carnival Committee,Coordinator Shift,4/17/2018 20:00:00,4/17/2018 23:59:59,1,kaiyiny
Spring Carnival Committee,Coordinator Shift,4/18/2018 0:00:00,4/18/2018 3:59:59,1,auy
Spring Carnival Committee,Coordinator Shift,4/18/2018 4:00:00,4/18/2018 7:59:59,1,ayang1
Spring Carnival Committee,Coordinator Shift,4/18/2018 8:00:00,4/18/2018 11:59:59,1,ccollive 
Spring Carnival Committee,Coordinator Shift,4/18/2018 12:00:00,4/18/2018 15:59:59,1,jiacobel
Spring Carnival Committee,Coordinator Shift,4/18/2018 16:00:00,4/18/2018 19:59:59,1,tparenti
Spring Carnival Committee,Coordinator Shift,4/18/2018 20:00:00,4/18/2018 23:59:59,1,rnchowdh
Spring Carnival Committee,Coordinator Shift,4/19/2018 0:00:00,4/19/2018 3:59:59,1,siqig
Spring Carnival Committee,Coordinator Shift,4/19/2018 4:00:00,4/19/2018 7:59:59,1,schidamb
Spring Carnival Committee,Coordinator Shift,4/19/2018 8:00:00,4/19/2018 11:59:59,1,meribyte
Spring Carnival Committee,Coordinator Shift,4/19/2018 12:00:00,4/19/2018 15:59:59,1,agotsis
Spring Carnival Committee,Coordinator Shift,4/19/2018 16:00:00,4/19/2018 19:59:59,1,meribyte
Spring Carnival Committee,Coordinator Shift,4/19/2018 20:00:00,4/19/2018 23:59:59,1,vzz
Spring Carnival Committee,Coordinator Shift,4/20/2018 0:00:00,4/20/2018 3:59:59,1,agyang
Spring Carnival Committee,Coordinator Shift,4/20/2018 4:00:00,4/20/2018 7:59:59,1,sbala
Spring Carnival Committee,Coordinator Shift,4/20/2018 8:00:00,4/20/2018 11:59:59,1,mzhu3
Spring Carnival Committee,Coordinator Shift,4/20/2018 12:00:00,4/20/2018 15:59:59,1,jsshen
Spring Carnival Committee,Coordinator Shift,4/20/2018 16:00:00,4/20/2018 19:59:59,1,agyang
Spring Carnival Committee,Coordinator Shift,4/20/2018 20:00:00,4/20/2018 23:59:59,1,aarohip
Spring Carnival Committee,Coordinator Shift,4/21/2018 0:00:00,4/21/2018 3:59:59,1,vzz
Spring Carnival Committee,Coordinator Shift,4/21/2018 4:00:00,4/21/2018 7:59:59,1,vlugo
Spring Carnival Committee,Coordinator Shift,4/21/2018 8:00:00,4/21/2018 11:59:59,1,kehuiz
Spring Carnival Committee,Coordinator Shift,4/21/2018 12:00:00,4/21/2018 15:59:59,1,vkalinov
Spring Carnival Committee,Coordinator Shift,4/21/2018 16:00:00,4/21/2018 19:59:59,1,sbala
Spring Carnival Committee,Coordinator Shift,4/21/2018 20:00:00,4/21/2018 23:59:59,1,hgronlun
Spring Carnival Committee,Coordinator Shift,4/22/2018 0:00:00,4/22/2018 3:59:59,1,yingyiny
Spring Carnival Committee,Coordinator Shift,4/22/2018 4:00:00,4/22/2018 7:59:59,1,hgronlun
Spring Carnival Committee,Coordinator Shift,4/22/2018 8:00:00,4/22/2018 11:59:59,1,vlugo
Spring Carnival Committee,Coordinator Shift,4/22/2018 12:00:00,4/22/2018 15:59:59,1,ccollive 
Spring Carnival Committee,Coordinator Shift,4/22/2018 16:00:00,4/22/2018 19:59:59,1,jsshen
Spring Carnival Committee,Entertainment Shift,4/19/2018 14:30:00,4/19/2018 15:30:00,1,vlugo
Spring Carnival Committee,Entertainment Shift,4/19/2018 14:30:00,4/19/2018 15:30:00,1,kehuiz
Spring Carnival Committee,Entertainment Shift,4/19/2018 16:00:00,4/19/2018 17:00:00,1,hkoschme
Spring Carnival Committee,Entertainment Shift,4/19/2018 16:00:00,4/19/2018 17:00:00,1,sbala
Spring Carnival Committee,Entertainment Shift,4/19/2018 17:30:00,4/19/2018 18:30:00,1,hkoschme
Spring Carnival Committee,Entertainment Shift,4/19/2018 17:30:00,4/19/2018 18:30:00,1,ayang1
Spring Carnival Committee,Entertainment Shift,4/20/2018 11:30:00,4/20/2018 12:30:00,1,lgalvan
Spring Carnival Committee,Entertainment Shift,4/20/2018 11:30:00,4/20/2018 12:30:00,1,agyang
Spring Carnival Committee,Entertainment Shift,4/20/2018 15:00:00,4/20/2018 16:00:00,1,lgalvan
Spring Carnival Committee,Entertainment Shift,4/20/2018 15:00:00,4/20/2018 16:00:00,1,zsolan
Spring Carnival Committee,Entertainment Shift,4/20/2018 19:30:00,4/20/2018 20:30:00,1,lgalvan
Spring Carnival Committee,Entertainment Shift,4/20/2018 19:30:00,4/20/2018 20:30:00,1,rnchowdh
Spring Carnival Committee,Entertainment Shift,4/21/2018 11:30:00,4/21/2018 12:30:00,1,lgalvan
Spring Carnival Committee,Entertainment Shift,4/21/2018 11:30:00,4/21/2018 12:30:00,1,asmui
Spring Carnival Committee,Entertainment Shift,4/21/2018 14:00:00,4/21/2018 15:00:00,1,saclark
Spring Carnival Committee,Entertainment Shift,4/21/2018 14:00:00,4/21/2018 15:00:00,1,ayang1
Spring Carnival Committee,Entertainment Shift,4/21/2018 15:00:00,4/21/2018 16:30:00,1,ryerzhan
Spring Carnival Committee,Entertainment Shift,4/21/2018 15:00:00,4/21/2018 16:30:00,1,ayang1
